,Activation,# of Neurons in hidden unit 1,# of Neurons in hidden unit 2,Alpha,Learning Rate,Accuracy Score,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,Time Taken
0,identity,5,5,0.0001,0.1,0.8161337209302325,0.8193674823337956,0.8175605424013106,0.8011410924279088,0.8161337209302325,0.806633262069452,0.8134445200067985,1.1705
1,identity,5,5,0.0001,0.01,0.4689922480620155,0.6643410852713179,0.6998197223724536,0.5395153584143767,0.4689922480620155,0.3909102780713386,0.3562541398346106,0.54266
2,identity,5,5,0.0001,0.001,0.751453488372093,0.8049045394924041,0.7899710260618571,0.7116020375136785,0.751453488372093,0.7135268438717078,0.730091343733394,1.2956
3,identity,5,5,0.001,0.1,0.6644864341085271,0.7998740565734195,0.7735509148019407,0.6021213183730715,0.6644864341085271,0.5595369825593046,0.5937041489197462,1.55381
4,identity,5,5,0.001,0.01,0.7877906976744186,0.8077746529982763,0.8001172495564244,0.7614398224496401,0.7877906976744186,0.7687680068098481,0.7793076058023805,0.73121
5,identity,5,5,0.001,0.001,0.8062015503875969,0.8010984498511446,0.808439752377269,0.8051300032365951,0.8062015503875969,0.8026208206345395,0.806845566530233,1.65482
6,identity,5,10,0.0001,0.1,0.8132267441860465,0.8212193461830515,0.8173007012577634,0.7949202795801673,0.8132267441860465,0.8016568851220292,0.8092695506646524,2.1792
7,identity,5,10,0.0001,0.01,0.8171027131782945,0.8131409072819684,0.8165337854386133,0.8101919994451552,0.8171027131782945,0.8115109874209421,0.8166701605529015,1.55423
8,identity,5,10,0.0001,0.001,0.7526647286821705,0.7644693359331849,0.7816778300591082,0.768096997672734,0.7526647286821705,0.7525106467936306,0.7534919838701569,0.61429
9,identity,5,10,0.001,0.1,0.7734980620155039,0.8209095123081802,0.8066294795294862,0.7375747499344976,0.7734980620155039,0.743244218607756,0.7572502322107783,1.12637
10,identity,5,10,0.001,0.01,0.7662306201550387,0.7964123104988843,0.7864228105667134,0.7339894502412034,0.7662306201550387,0.7396498168734699,0.7528696856776467,1.89822
11,identity,5,10,0.001,0.001,0.7000968992248062,0.7481419234360411,0.7729198604506401,0.7303993341861504,0.7000968992248062,0.6984179889433904,0.6948421280842708,1.27043
12,identity,5,20,0.0001,0.1,0.7611434108527132,0.8160473729862164,0.8004959916565194,0.722174914846724,0.7611434108527132,0.7255827663457339,0.7412811396947101,1.25453
13,identity,5,20,0.0001,0.01,0.813468992248062,0.8202025434673166,0.816804689928985,0.7959191930089545,0.813468992248062,0.802376289332811,0.8098167935377238,2.15089
14,identity,5,20,0.0001,0.001,0.752906976744186,0.7658782558362045,0.7834591630353039,0.769016922768676,0.752906976744186,0.752799684940775,0.7536180968365622,2.28541
15,identity,5,20,0.001,0.1,0.780765503875969,0.8254183229409513,0.8115620082263683,0.7462942912627345,0.780765503875969,0.7529559105945124,0.7661278190368485,1.48501
16,identity,5,20,0.001,0.01,0.7579941860465116,0.8155772276141049,0.7995575180007287,0.7181147218840066,0.7579941860465116,0.7207814705266012,0.7369802372028197,2.74457
17,identity,5,20,0.001,0.001,0.7342538759689923,0.7392188851810654,0.7538902637536778,0.7447068184270147,0.7342538759689923,0.7335174843960515,0.7357436266626374,0.90805
18,identity,5,50,0.0001,0.1,0.812984496124031,0.8079223866860956,0.8135317511984025,0.8094030793890541,0.812984496124031,0.8086112264194456,0.8132087663652917,3.84349
19,identity,5,50,0.0001,0.01,0.8008720930232558,0.7960674483961624,0.800396908389807,0.7942912627344605,0.8008720930232558,0.7951144580932183,0.8005725628823868,3.21316
20,identity,5,50,0.0001,0.001,0.6971899224806202,0.7305240181216066,0.7521318903948151,0.7222828013501226,0.6971899224806202,0.6966258444207964,0.6945469949418954,3.69083
21,identity,5,50,0.001,0.1,0.7805232558139535,0.7865529046268926,0.8020038797100495,0.792846354206803,0.7805232558139535,0.7800068516099401,0.781700657399104,2.98818
